km boat,Sakhir,Jeddah,Melbourne,Baku,Miami,Imola,Monaco,Barcelona,Montreal,Spielberg,Silverstone,Budapest,Spa Francorchamps,Zandvoort,Monza,Singapore,Suzuka,Lusail,Austin,Mexico City,Sao Paulo,Las Vegas,Yas Marina
Silverstone,5673.93,5296.90,27115.68,1000000000.00,7748.06,2036.76,1790.05,1910.18,5650.96,2006.36,0.00,2449.66,570.87,418.08,1662.42,17443.79,15211.75,5792.30,8616.13,9735.65,10474.17,13312.26,6116.81
Budapest,3992.27,3726.86,24874.05,1000000000.00,9431.08,753.09,1113.13,1648.27,7308.66,374.18,2449.66,0.00,1628.01,1882.66,870.03,15195.82,14291.05,4109.98,10258.00,11406.43,11324.06,15463.61,4432.71
Spa Francorchamps,5104.64,4738.36,26418.66,1000000000.00,8312.20,1285.28,1204.78,1642.34,6220.26,1176.46,570.87,1628.01,0.00,262.60,943.04,16726.42,14985.62,5223.31,9183.42,10306.49,10701.39,14080.89,5549.77
Zandvoort,5285.79,4966.58,26515.83,1000000000.00,8149.81,1662.11,1576.79,1944.57,6016.94,1488.21,418.08,1882.66,262.60,0.00,1324.84,16838.07,14811.59,5403.06,8972.70,10112.43,10788.04,13723.92,5722.36
Monza,4666.69,4177.01,26059.77,1000000000.00,8740.23,261.62,281.58,795.44,6748.12,501.04,1662.42,870.03,943.04,1324.84,0.00,16415.81,15390.27,4788.13,9720.32,10802.17,10510.90,14974.59,5130.96
Singapore,6959.20,8088.69,6663.69,1000000000.00,27125.30,16124.48,16678.37,17397.05,23688.19,15734.51,17443.79,15195.82,16726.42,16838.07,16415.81,0.00,5539.53,6840.69,25349.81,18275.22,25571.35,15642.54,6470.43
Suzuka,12885.86,14868.32,8942.45,1000000000.00,13446.94,15357.58,15798.20,16517.37,16933.53,14725.54,15211.75,14291.05,14985.62,14811.59,15390.27,5539.53,0.00,12805.37,11912.68,12759.33,20611.08,10104.48,12459.53
Lusail,123.07,2126.63,13200.65,1000000000.00,13525.07,4542.36,4887.89,5305.44,11398.72,4422.03,5792.30,4109.98,5223.31,5403.06,4788.13,6840.69,12805.37,0.00,20812.51,22551.14,19013.36,20835.78,370.49
Austin,14199.19,20210.96,15715.27,1000000000.00,1943.66,9981.54,9706.40,9439.73,4324.26,9990.44,8616.13,10258.00,9183.42,8972.70,9720.32,25349.81,11912.68,20812.51,0.00,1322.70,8893.22,2815.70,14585.51
Mexico City,15389.61,21719.54,14919.79,1000000000.00,2270.66,11060.24,10756.79,10436.22,4105.29,11114.85,9735.65,11406.43,10306.49,10112.43,10802.17,18275.22,12759.33,22551.14,1322.70,0.00,8173.97,2676.50,15802.40
Sao Paulo,18901.49,16888.57,20901.57,1000000000.00,7255.72,10572.97,10237.48,9717.85,8976.25,10993.84,10474.17,11324.06,10701.39,10788.04,10510.90,25571.35,20611.08,19013.36,8893.22,8173.97,0.00,10766.33,19438.05
Las Vegas,20709.13,14351.83,14444.39,1000000000.00,5587.70,15346.74,15062.10,14860.75,5779.43,15190.55,13312.26,15463.61,14080.89,13723.92,14974.59,15642.54,10104.48,20835.78,2815.70,2676.50,10766.33,0.00,21108.70
Yas Marina,490.91,2585.18,18680.31,1000000000.00,13859.61,4888.06,5238.17,5663.21,11698.59,4753.18,6116.81,4432.71,5549.77,5722.36,5130.96,6470.43,12459.53,370.49,14585.51,15802.40,19438.05,21108.70,0.00
